ax,ay,az,gx,gy,gz
10416,-15884,3132,-61,-951,527
10420,-15800,3148,-53,-971,545
10284,-15388,3248,-109,-1043,568
9964,-15608,3268,-88,-1235,516
11800,-17108,2320,-788,3033,543
10336,-15508,3020,-38,-764,525
10524,-15580,3136,-59,-766,544
10544,-15800,3072,-141,-909,519
10488,-15736,3076,-120,-994,539
10232,-16520,3204,47,-1989,569
10660,-15852,3280,-384,-1378,544
10512,-15852,3052,-157,-812,528
10224,-16180,3120,-378,-1046,539
10324,-15400,3180,-194,-966,530
10696,-15424,3072,202,-910,520
10308,-15720,3208,-46,-980,544
10256,-15984,3120,-24,-841,535
10188,-16400,3192,25,-823,549
10216,-15880,3340,-93,-1015,571
10384,-15888,2940,-67,-998,537
10212,-15300,3220,-20,-361,544
10512,-15540,3288,-40,-925,555
10400,-15920,3044,-55,-958,560
10380,-15784,3052,-64,-938,579
10392,-15708,3068,-64,-988,547
10472,-15732,3204,-95,-991,534
10444,-16232,3032,24,-759,561
10224,-15892,3152,125,-1181,539
10292,-15748,3004,-70,-933,559
10364,-15664,3176,-50,-981,533
10400,-15800,3096,-78,-923,555
10404,-15924,2980,-50,-815,543
10296,-15580,3160,-83,-947,549
10496,-15508,3076,-69,-1033,545
10428,-15620,3124,-49,-963,547
10276,-15808,3180,-54,-957,534
10388,-15712,3128,-54,-998,549
ax,ay,az,gx,gy,gz
10348,-15616,3144,-53,-1010,519
10364,-15488,3040,-10,-1093,558
10380,-15736,2972,-55,-971,545
10444,-15760,3096,-83,-987,545
10436,-15648,3140,-33,-938,548
10408,-15840,3124,-52,-967,551
10352,-15736,3200,-50,-1000,504
10384,-15648,3224,-26,-947,551
10380,-15916,3080,-54,-954,559
10344,-15680,3260,-79,-967,526
10360,-15784,3044,-56,-980,558
10380,-15724,3044,-59,-1021,545
10336,-15624,3036,-62,-962,566
10380,-15788,3040,-53,-968,579
10464,-15716,3140,-67,-972,554
10260,-15660,3260,-201,-440,553
10316,-15880,3220,-62,-971,543
10332,-15920,3160,-192,-913,517
10284,-15520,3176,-3,-1213,534
10476,-16032,3088,-64,-1068,556
10376,-15480,3084,-44,-1434,584
ax,ay,az,gx,gy,gz
9048,-14980,3260,-35,-985,542
9168,-15284,3308,-49,-955,556
9160,-15400,3124,-53,-986,546
9188,-15120,3160,-44,-989,523
9128,-15252,3240,-61,-956,551
9136,-15360,3056,-37,-977,518
9252,-15452,3052,-63,-1022,544
9092,-14988,3284,-65,-973,562
9020,-15184,3216,-46,-946,536
9244,-15184,3180,-85,-976,541
9300,-15044,3220,-51,-988,536
9128,-15060,3176,-53,-959,557
9244,-15264,3176,-50,-944,569
9228,-15200,3236,-62,-1001,575
9196,-15152,3280,-46,-984,545
9188,-15428,3148,-56,-962,523
9200,-15076,3256,-35,-961,577
9064,-15232,3228,-54,-956,552
9096,-15328,3072,-63,-973,539
9168,-15216,3124,-60,-971,556
9192,-15260,3244,-54,-977,554
9264,-15424,3132,-70,-992,550
9236,-15216,3236,-50,-996,531
9096,-15288,3220,-55,-964,529
9184,-15240,3204,-40,-981,537
9224,-15124,3296,-54,-972,530
9252,-15236,3188,-60,-964,527
9136,-14952,3268,-34,-990,546
9144,-15288,3280,-57,-965,528
9168,-15216,3148,-57,-955,560
9184,-15180,3256,-67,-957,590
9204,-15160,3172,-44,-967,546
9172,-15164,3188,-58,-975,545
9244,-15308,3152,-61,-953,535
9264,-14896,3128,-51,-919,541
9164,-15148,3164,-54,-934,570
9148,-15260,3156,-46,-976,550
9028,-15052,3280,-70,-982,555
9220,-15352,3104,-65,-994,556
9220,-15316,3152,-63,-970,549
9168,-15052,3332,-50,-956,539
9084,-15072,3400,-53,-971,565
9240,-15332,3100,-40,-957,549
9224,-15152,3168,-64,-969,562
9132,-15324,3108,-51,-983,552
9180,-15172,3128,-42,-972,525
9152,-15436,3072,-54,-980,558
9104,-15244,3152,-70,-969,527
9228,-15108,3352,-60,-965,530
9272,-15160,3228,-63,-969,554
9124,-15300,3220,-39,-944,536
9192,-15368,3092,-39,-988,542
9184,-15024,3192,-57,-964,542
9288,-15376,3220,-32,-951,534
9236,-15352,3216,-59,-1006,552
9132,-15352,3136,-67,-949,542
9212,-15076,3260,-39,-912,546
9352,-15336,3208,-66,-996,526
